id,amount,date,note,created_at,updated_at,category_id,user_id,both_flg,mypay,partnerpay,percent,repeat_expense_id
1,3402,2018-03-01,"",2018-04-01 04:14:58.356719,2018-04-01 04:14:58.356719,1,1,t,2268,1134,3,
3,1890,2018-03-01,"",2018-04-01 04:18:53.781903,2018-04-01 04:18:53.781903,1,1,t,1260,630,3,
4,496,2018-03-01,"",2018-04-01 04:19:16.869281,2018-04-01 04:19:16.869281,1,1,t,330,166,3,
5,1298,2018-03-01,ココナッツオイル,2018-04-01 04:22:08.685991,2018-04-01 04:22:08.685991,3,1,t,0,1298,4,
6,110000,2018-03-31,"",2018-04-01 04:22:56.727911,2018-04-01 04:22:56.727911,6,1,t,55000,55000,1,
7,6798,2018-03-01,"",2018-04-01 04:34:40.995589,2018-04-01 04:34:40.995589,7,1,t,3399,3399,1,
8,6104,2018-03-01,"",2018-04-01 04:35:06.622894,2018-04-01 04:35:06.622894,8,1,t,3052,3052,1,
9,5946,2018-03-01,"",2018-04-01 04:35:40.485092,2018-04-01 04:35:40.485092,9,1,t,2973,2973,1,
64,1770,2018-04-13,タクシー代,2018-04-13 15:06:00.91152,2018-04-13 15:06:00.91152,10,1,t,885,885,1,
10,26813,2018-03-01,"",2018-04-01 04:56:53.852089,2018-04-01 04:58:15.82475,1,2,t,8937,17876,2,
11,3544,2018-03-01,"",2018-04-01 04:59:39.645056,2018-04-01 04:59:39.645056,2,2,t,1772,1772,1,
13,8062,2018-03-01,"",2018-04-01 05:30:08.143777,2018-04-01 05:30:08.143777,3,1,t,4031,4031,1,
15,3600,2018-03-01,"",2018-04-01 05:33:08.460129,2018-04-01 05:33:08.460129,2,1,t,1800,1800,1,
16,4420,2018-03-01,映画,2018-04-01 05:52:30.437038,2018-04-01 05:52:30.437038,10,1,t,2210,2210,1,
20,1440,2018-03-01,"",2018-04-01 10:35:37.209701,2018-04-01 10:35:37.209701,1,2,t,480,960,2,
22,1418,2018-03-01,"",2018-04-01 10:37:40.670077,2018-04-01 10:37:40.670077,1,2,t,472,946,2,
65,3700,2018-04-13,ひろきと飲み,2018-04-13 15:06:38.111567,2018-04-13 15:06:38.111567,10,1,t,1850,1850,1,
2,2062,2018-03-01,"",2018-04-01 04:18:26.139405,2018-04-01 11:55:52.824627,1,1,t,1374,688,3,
24,538,2018-04-04,レノア,2018-04-04 11:26:03.146793,2018-04-04 11:26:03.146793,3,1,t,269,269,1,
25,857,2018-04-04,鼻うがい サーレ,2018-04-04 11:59:59.165484,2018-04-04 11:59:59.165484,3,1,f,,,,
26,2000,2018-04-05,"",2018-04-05 03:12:41.308862,2018-04-05 03:12:41.308862,1,1,t,1000,1000,1,
27,3448,2018-04-01,とんかつ,2018-04-05 04:47:24.614685,2018-04-05 04:47:24.614685,1,2,t,1724,1724,1,
28,792,2018-04-01,パン,2018-04-05 04:48:19.981106,2018-04-05 04:48:19.981106,1,2,t,264,528,2,
29,1028,2018-04-01,"",2018-04-05 04:49:24.708625,2018-04-05 04:49:24.708625,1,2,t,342,686,2,
30,2305,2018-04-02,"",2018-04-05 04:49:52.026844,2018-04-05 04:49:52.026844,1,2,t,768,1537,2,
31,1201,2018-04-04,"",2018-04-05 04:50:22.524044,2018-04-05 04:50:22.524044,1,2,t,400,801,2,
32,1768,2018-04-03,"",2018-04-05 04:50:46.525629,2018-04-05 04:50:46.525629,1,2,t,589,1179,2,
36,110000,2018-04-05,"",2018-04-05 12:36:49.766554,2018-04-05 12:36:49.766554,6,1,t,55000,55000,1,
38,306,2018-04-05,"",2018-04-07 01:17:43.234336,2018-04-07 01:17:43.234336,3,2,t,153,153,1,
39,1256,2018-04-05,アルガード　歯みがき粉,2018-04-07 01:18:13.018059,2018-04-07 01:18:13.018059,3,2,t,0,1256,4,
41,410,2018-04-06,バスロマン,2018-04-07 01:20:03.762145,2018-04-07 01:20:03.762145,3,2,t,205,205,1,
42,2160,2018-04-06,乳液,2018-04-07 01:20:34.296572,2018-04-07 01:20:34.296572,3,2,f,,,,
43,1592,2018-04-05,"",2018-04-07 01:21:12.346576,2018-04-07 01:21:12.346576,1,2,t,530,1062,2,
44,1868,2018-04-06,"",2018-04-07 01:21:27.173153,2018-04-07 01:21:27.173153,1,2,t,622,1246,2,
47,1000,2018-04-08,TOHOシネマカード入会金,2018-04-09 04:27:05.509867,2018-04-09 04:27:05.509867,5,2,t,500,500,1,
48,758,2018-04-08,リステリン　西友ネット,2018-04-09 11:54:06.375774,2018-04-09 11:54:06.375774,3,2,t,0,758,4,
49,7284,2018-04-08,西友ネット,2018-04-09 11:54:59.063305,2018-04-09 11:54:59.063305,3,2,t,3642,3642,1,
53,1058,2018-03-04,COURRIER JAPON,2018-04-10 22:53:20.377748,2018-04-10 22:53:20.377748,14,1,f,,,,
54,2500,2018-03-10,"",2018-04-10 22:53:47.143634,2018-04-10 22:53:47.143634,12,1,f,,,,
55,5980,2018-03-11,DMM英会話,2018-04-10 22:54:26.175961,2018-04-10 22:54:26.175961,14,1,f,,,,
56,360,2018-03-11,Evernote,2018-04-10 22:55:17.505056,2018-04-10 22:55:17.505056,13,1,f,,,,
57,2480,2018-03-25,ヘルペス,2018-04-10 22:56:25.810898,2018-04-10 22:56:25.810898,15,1,f,,,,
66,1749,2018-04-13,ハンバーガー,2018-04-13 15:07:06.303534,2018-04-13 15:07:06.303534,2,1,t,874,875,1,
59,4000,2018-03-25,翻訳飲み会,2018-04-10 22:58:28.959332,2018-04-10 22:58:28.959332,10,1,f,,,,
60,3431,2018-03-28,生命保険,2018-04-10 22:59:21.864589,2018-04-10 22:59:21.864589,17,1,f,,,,
61,310,2018-03-05,NECパソコン ソフマップ,2018-04-10 23:00:42.261437,2018-04-10 23:00:42.261437,13,1,f,,,,
51,980,2018-03-03,Apple Music,2018-04-10 22:46:29.951544,2018-04-10 23:02:02.667288,13,1,f,,,,
58,16000,2018-03-25,"",2018-04-10 22:56:52.405165,2018-04-10 23:03:42.672598,16,1,f,,,,
50,32400,2018-03-27,Crossfit,2018-04-10 22:45:08.501442,2018-04-10 23:04:45.919447,12,1,f,,,,
67,3850,2018-04-01,免許更新,2018-04-13 15:08:48.178055,2018-04-13 15:08:48.178055,5,1,f,,,,
37,14435,2018-03-31,食費・日用品合計,2018-04-06 21:30:57.930406,2018-04-10 23:11:37.72549,1,1,f,,,,
68,3388,2018-04-13,"",2018-04-13 15:10:27.690494,2018-04-13 15:10:27.690494,1,1,f,,,,
69,4940,2018-04-13,ゆりりんとご飯,2018-04-13 15:11:01.330386,2018-04-13 15:11:01.330386,10,1,f,,,,
70,1316,2018-04-13,TSUTAYA,2018-04-13 15:11:32.640068,2018-04-13 15:11:32.640068,14,1,f,,,,
71,3000,2018-04-14,"",2018-04-14 11:16:17.523602,2018-04-14 11:16:17.523602,11,1,f,,,,
72,1166,2018-04-14,クルミッコ,2018-04-14 11:17:00.651846,2018-04-14 11:17:00.651846,10,1,t,583,583,1,
73,198,2018-04-14,"",2018-04-14 11:17:14.506294,2018-04-14 11:17:14.506294,1,1,f,,,,
74,387,2018-04-14,農業前のセブン,2018-04-14 11:18:00.028652,2018-04-14 11:18:00.028652,1,1,t,193,194,1,
75,4800,2018-04-14,逗子　農業,2018-04-14 12:13:39.318671,2018-04-14 12:13:39.318671,10,2,t,2400,2400,1,
76,32400,2018-04-27,Crossfit,2018-04-14 15:38:31.15662,2018-04-14 15:38:31.15662,12,1,f,,,,
77,5980,2018-04-12,DMM英会話,2018-04-14 15:40:13.368677,2018-04-14 15:40:13.368677,14,1,f,,,,
78,5280,2018-04-15,"",2018-04-15 04:09:50.542382,2018-04-15 04:09:50.542382,9,1,t,2640,2640,1,
80,199,2018-04-15,Avengers,2018-04-15 06:30:28.540626,2018-04-15 06:30:28.540626,14,1,f,,,,
